channel_index,video_id,title,published_at,status,language,caption_kind,track,strategy,output_file,sha256,error_class,error
"1","TsJ49Np3HS0","First Aid Training: CPR","2025-08-19T07:31:00Z","fetched","en-GB","manual","en-GB-manual","ANDROID","transcripts/2025-08-19 - First Aid Training_ CPR.txt","351d7ca2c762628e299f83b992395238f4b3fa8496d58e37c83c44b1776fcdc5","",""
"2","UFvL7wTFzl0","How to Use a Defibrillator (AED) - First Aid Training - St John Ambulance","2016-08-30T16:46:27Z","fetched","en","manual","en-manual","ANDROID","transcripts/2016-08-30 - How to Use a Defibrillator (AED) - First Aid Training - St John Ambulance.txt","fa7c6e58de69aa5680b035d2f190b97661f4b45cd04237698795745310335841","",""
"3","n4g153JhVnc","How to Bend PVC Conduit to 90 Degrees (Right Angle) My Way. Video to Inspire my Level 1 Learners","2020-01-15T19:00:58Z","no_captions","","","","","","","NoCaptions",""
"4","8VhgQ9Q9ixA","Difference between MCB, MCCB, ELCB, RCCB, RCBO, RCD And MPCB || why we use this device","2022-12-11T03:29:12Z","fetched","en","asr","en-asr","IOS","transcripts/2022-12-11 - Difference between MCB, MCCB, ELCB, RCCB, RCBO, RCD And MPCB _ why we use this device.txt","ec8885e24d793deb74e6813eddff70c3df237d1c0b7f99a975e5e4f7e32d337d","",""
"5","kx35WN3uLis","Things you should know about fuses.  (including a 15kV one)","2017-09-21T19:29:48Z","fetched","en","asr","en-asr","IOS","transcripts/2017-09-21 - Things you should know about fuses. (including a 15kV one).txt","cde4d0c84116583d62bd2d2321d2e2f507d7d5efd000485ff7df7a5471072fcd","",""
"6","gqEu9t8HwW0","Why Circuit Breakers DON'T Protect People (electric shocks)","2024-04-15T20:10:05Z","fetched","en","asr","en-asr","IOS","transcripts/2024-04-15 - Why Circuit Breakers DON'T Protect People (electric shocks).txt","a399885f57b7c3436339751037ef0b13ca71f3403f1dce9f0869f709656b8871","",""
"7","Me_adh09CdY","B C D K Z Type of MCB And their Uses | Types of miniature circuit breaker @TheElectricalGuy","2023-01-03T02:30:08Z","fetched","en","asr","en-asr","IOS","transcripts/2023-01-03 - B C D K Z Type of MCB And their Uses _ Types of miniature circuit breaker @TheElectricalGuy.txt","63d8892dd5abae31f7acd0615f601200a2916971c4c9ed4e511033aafd90055b","",""
"8","TUno2IT-KZY","Why This Doesn’t Keep You Safe","2026-03-09T16:00:45Z","fetched","en","asr","en-asr","IOS","transcripts/2026-03-09 - Why This Doesn’t Keep You Safe.txt","475868740830aa52c9345d93b4a5fdb6d24c54880abc32799f7da80c85a27149","",""
"9","TqdQRgf3uGs","Difference Between MCB and MCCB || MCB vs MCCB @TheElectricalGuy","2023-02-14T02:47:32Z","fetched","en","asr","en-asr","IOS","transcripts/2023-02-14 - Difference Between MCB and MCCB _ MCB vs MCCB @TheElectricalGuy.txt","a18d800d5b9b42bfa935e2d5e3bd35e74e8ce62454763f706ed582461087f571","",""
"10","CNiLNvBLopI","Why do we Need to Fit a Type 2 SPD?","2024-08-13T09:31:32Z","fetched","en","asr","en-asr","IOS","transcripts/2024-08-13 - Why do we Need to Fit a Type 2 SPD_.txt","b780b887f64ef8087cd6c5da2c31dd801b3c0307bbf14d9e3e24289cbfbbe3e5","",""
