channel_index,video_id,title,published_at,status,language,caption_kind,track,strategy,output_file,sha256,error_class,error
"1","T96RePPLnMs","AC Theory Introduction: The Mystery of the Fluorescent Lamp!","2019-03-18T19:42:13Z","cached","en","asr","en-asr","","transcripts/2019-03-18 - AC Theory Introduction_ The Mystery of the Fluorescent Lamp!.txt","802fc3520d37b4415161a24293ded2860b2b817c9b4f3d8a8ad2499da96caf64","",""
"2","MnC-jHxBZvE","AC Theory - Loads, Symbols & Units","2019-03-25T20:26:15Z","cached","en","asr","en-asr","","transcripts/2019-03-25 - AC Theory - Loads, Symbols & Units.txt","9c51a641a006535349afde5985c1b8a26ec40aade1293986a04ef9a960ea4030","",""
"3","IJP2s3P-SB4","AC Theory - Oppositions to Current Flow","2019-07-09T07:00:35Z","cached","en","asr","en-asr","","transcripts/2019-07-09 - AC Theory - Oppositions to Current Flow.txt","213fbb64de68fc38f8719887a16848dfcdaf9604e1f5523e020e5687cbe8d2fd","",""
"4","PgmgL2R5dFE","AC Theory: Producing an AC Waveform","2019-09-19T08:00:08Z","cached","en","asr","en-asr","","transcripts/2019-09-19 - AC Theory_ Producing an AC Waveform.txt","91e20c2a46ed1632cf23dd5dc270673f696cb593da507c17285025b30152f1bd","",""
"5","kUIrN6jNrxo","AC Theory: Why is AC Called a Sine Wave?","2019-09-26T09:15:29Z","cached","en","asr","en-asr","","transcripts/2019-09-26 - AC Theory_ Why is AC Called a Sine Wave_.txt","f25dd0e5bf0e21934751b16e1543d202a10e01eeedbe928e2105dfbdaf62f78d","",""
"6","c9C1Etd8qek","AC Theory: How Does Frequency Affect Inductive Reactance?","2019-10-17T11:49:06Z","cached","en","asr","en-asr","","transcripts/2019-10-17 - AC Theory_ How Does Frequency Affect Inductive Reactance_.txt","51ceaeccc651c4d9c7db078e43498ce8160da87273de8f2d0fe839cb9e226899","",""
"7","Cp9dV_mkjVM","AC Theory: How Does Changing Inductance Affect Inductive Reactance?","2019-10-25T10:56:23Z","cached","en","asr","en-asr","","transcripts/2019-10-25 - AC Theory_ How Does Changing Inductance Affect Inductive Reactance_.txt","6833bf0c19de889e0846c98aa2fff4d9b532d5777dce3c3dd48e79ac529f1561","",""
"8","t5PyB5yuugE","AC Theory: How Does Changing Frequency and Capacitance Affect Capacitive Reactance","2019-11-06T09:03:35Z","cached","en","asr","en-asr","","transcripts/2019-11-06 - AC Theory_ How Does Changing Frequency and Capacitance Affect Capacitive Reactance.txt","63e59556290efa8ab9f3b4146e1f8187f1549177f351285a5fa97cc89c34b218","",""
"9","_XNvQ44feqA","AC Theory: Wave Diagrams","2019-11-24T11:58:39Z","cached","en","asr","en-asr","","transcripts/2019-11-24 - AC Theory_ Wave Diagrams.txt","1417dbfe789944f92ec1e1a71c5ecb18baa48bd0216beea252baa49adedf6f70","",""
"10","_F1jzaGgtXw","AC Theory: How to Show the Relationships Between Current and Voltage using Phasors in AC Circuits","2019-12-01T08:01:08Z","cached","en","asr","en-asr","","transcripts/2019-12-01 - AC Theory_ How to Show the Relationships Between Current and Voltage using Phasors in AC Circuits.txt","10a047c49118017116c40fe6d1e6d61212b6ee8ce9c20127a72e00c849d1fdaa","",""
"11","iec-1Z5Zvgs","AC Theory: The Story so Far","2019-12-08T09:08:52Z","cached","en","asr","en-asr","","transcripts/2019-12-08 - AC Theory_ The Story so Far.txt","839615be6ed1ce01e527edaeacdd53eebebf5752fbde05940267789d4ab79840","",""
"12","lCYGX1scCc4","AC Theory: Solving the Mystery of the Fluorescent Lamp","2019-12-15T08:10:56Z","cached","en","asr","en-asr","","transcripts/2019-12-15 - AC Theory_ Solving the Mystery of the Fluorescent Lamp.txt","4b08076af9febbe0a65162253c09493343b0ca9ce8e4a7fbdbdfc0b0dac5d977","",""
"13","HHVaJx4hQII","AC Theory: Strange Currents in a Fluorescent Lamp Explained","2020-01-05T08:00:04Z","cached","en","asr","en-asr","","transcripts/2020-01-05 - AC Theory_ Strange Currents in a Fluorescent Lamp Explained.txt","a42aa04cd39f06ce4c56a0393dc11e062d7d920212ce8411b9e9c6e5b1d99f6d","",""
"14","dOt3GhjLhJo","AC Theory: How to Draw a Phasor Diagram for an Inductive Load to Scale","2019-12-22T13:20:39Z","cached","en","asr","en-asr","","transcripts/2019-12-22 - AC Theory_ How to Draw a Phasor Diagram for an Inductive Load to Scale.txt","da1b348818dd9384b9d4e6114f984bf067a3fc8eb91b2518f473e7259c62fb30","",""
"15","spMt1O6yX6A","AC Theory: How to Calculate the Relationship between Voltages in an Inductive Circuit as a Triangle","2020-01-12T08:00:08Z","cached","en","asr","en-asr","","transcripts/2020-01-12 - AC Theory_ How to Calculate the Relationship between Voltages in an Inductive Circuit as a Triangle.txt","e2b273a6953678d3ea286548d3be248a39a7b69ed5f1f9929433d5087b20c125","",""
"16","6-Q-tMZi2fo","AC Theory: How to Calculate Impedance and Construct an Impedance Triangle","2020-01-19T08:00:03Z","cached","en","asr","en-asr","","transcripts/2020-01-19 - AC Theory_ How to Calculate Impedance and Construct an Impedance Triangle.txt","b5bdf2efb94e1a6387f6ad4764bf9915ca10a1bd6d5b0ad9cad322c565927f04","",""
"17","6YC2_Ir-d2w","AC Theory: How to Construct a Power Triangle and the Different Powers in an AC Circuit","2020-01-26T08:00:03Z","cached","en","asr","en-asr","","transcripts/2020-01-26 - AC Theory_ How to Construct a Power Triangle and the Different Powers in an AC Circuit.txt","c92be3b4d3a9377c324e9e3f9d597c7a1a1f3de67a4e9df7bd693e0625bd05cc","",""
"18","xp6Rv5cUQG8","AC Theory: How to Calculate Power Factor in an AC Circuit: What is Power Factor?","2020-02-02T08:00:56Z","cached","en","asr","en-asr","","transcripts/2020-02-02 - AC Theory_ How to Calculate Power Factor in an AC Circuit_ What is Power Factor_.txt","ba5108c4fa7fe20738c9260b7276cd098f6d62641dc4bae33e47028c4c3746f3","",""
"19","YbkE937rsbw","How to Identify the Different Parts of a Sine Wave, Calculate Frequency and Periodic Time","2020-02-05T08:00:06Z","cached","en","asr","en-asr","","transcripts/2020-02-05 - How to Identify the Different Parts of a Sine Wave, Calculate Frequency and Periodic Time.txt","8dae4c36ebfa35a07984f26912dd6a86ead65be17fdfd40648a302826633e6cb","",""
"20","LXpXDga-7xM","AC Theory: The Mystery of the Coil","2020-02-09T08:00:02Z","cached","en","asr","en-asr","","transcripts/2020-02-09 - AC Theory_ The Mystery of the Coil.txt","8358488625f352707871d0e159833e2d367420016bb29f016086de659bd3d877","",""
"21","vNJllbHrzII","AC Theory: How to Find Resistance, Impedance, Inductive Reactance and Inductance of a Coil","2020-02-16T08:00:08Z","cached","en","asr","en-asr","","transcripts/2020-02-16 - AC Theory_ How to Find Resistance, Impedance, Inductive Reactance and Inductance of a Coil.txt","aca48381651d9313ad717958c2b160729dc06dfcb14b30c6094751bba66a720d","",""
"22","2pRKalO5g7w","AC Theory: How to Calculate Power Factor, Phase Angle & Power Factor Correction Capacitor of a Coil","2020-02-23T08:00:01Z","cached","en","asr","en-asr","","transcripts/2020-02-23 - AC Theory_ How to Calculate Power Factor, Phase Angle & Power Factor Correction Capacitor of a Coil.txt","3ffa78ab9936a781bc98f3898a8121faeda8865aa8d41cebe035300d5d163f9d","",""
