"lessonId","title","videoId","url","previousModule","previousPosition","module","position","decision","purpose","connection"
"p01-l01","What is Electricity? Part One: The Structure of an Atom","XBJQ_JfJ57Y","https://www.youtube.com/watch?v=XBJQ_JfJ57Y","module-01","1","module-01","1","Retained","Connect circuits, AC, transformers and power, then establish safe isolation before measurements.",""
"p01-l02","What is Electricity? Part Two: The Atomic Structure of Copper","2ZlfXE_PZOQ","https://www.youtube.com/watch?v=2ZlfXE_PZOQ","module-01","2","module-01","2","Retained","Connect circuits, AC, transformers and power, then establish safe isolation before measurements.",""
"p01-l03","What is Electricity Part 4: How to Count & Quantify Electricity. What is Electrical Charge? SI Units","eTJsJTAkn0Y","https://www.youtube.com/watch?v=eTJsJTAkn0Y","module-01","3","module-01","3","Retained","Connect circuits, AC, transformers and power, then establish safe isolation before measurements.",""
"p01-l04","What is Electricity Part 5: What is an Ampere? How to Calculate Charge from Current","ihlUYQ2xyVQ","https://www.youtube.com/watch?v=ihlUYQ2xyVQ","module-01","4","module-01","4","Retained","Connect circuits, AC, transformers and power, then establish safe isolation before measurements.",""
"p01-l05","How to Identify the Components of a Basic Circuit","4s4PzrlpKsY","https://www.youtube.com/watch?v=4s4PzrlpKsY","module-01","5","module-01","5","Retained","Connect circuits, AC, transformers and power, then establish safe isolation before measurements.",""
"p01-l06","What is the Relationship Between Voltage, Resistance and Current?","zu-l3tq7oHU","https://www.youtube.com/watch?v=zu-l3tq7oHU","module-01","6","module-01","6","Retained","Connect circuits, AC, transformers and power, then establish safe isolation before measurements.",""
"p01-l07","How to Find Ohm's Law From a Simple Circuit","mYtogaIV6ZE","https://www.youtube.com/watch?v=mYtogaIV6ZE","module-01","7","module-01","7","Retained","Connect circuits, AC, transformers and power, then establish safe isolation before measurements.",""
"p01-l08","Resistors Connected in Series - Introduction to Circuit Theory - Electrical Science and Principles","bivddd3pua8","https://www.youtube.com/watch?v=bivddd3pua8","module-01","8","module-01","8","Retained","Connect circuits, AC, transformers and power, then establish safe isolation before measurements.",""
"p01-l09","Resistors in Parallel - Introduction: How to Calculate Total Resistance","48JBKN99Qcc","https://www.youtube.com/watch?v=48JBKN99Qcc","module-01","9","module-01","9","Retained","Connect circuits, AC, transformers and power, then establish safe isolation before measurements.",""
"p01-l10","Resistors in Parallel - How to Find Total Resistance for Any Number of Resistors","X2zB2asJgD4","https://www.youtube.com/watch?v=X2zB2asJgD4","module-01","10","module-01","10","Retained","Connect circuits, AC, transformers and power, then establish safe isolation before measurements.",""
"p01-l11","How to do Circuit Analysis on a Parallel Circuit. Finding Voltages, Currents and Resistances","7jcdRn5qGio","https://www.youtube.com/watch?v=7jcdRn5qGio","module-01","11","module-01","11","Retained","Connect circuits, AC, transformers and power, then establish safe isolation before measurements.",""
"p01-l12","How to Calculate Power in an Electrical Circuit, Where Does the Power Formula Come From?","9omx07AKH5Q","https://www.youtube.com/watch?v=9omx07AKH5Q","module-01","12","module-01","12","Retained","Connect circuits, AC, transformers and power, then establish safe isolation before measurements.",""
"p01-l13","How to Find the Power Formula Number 2 for Electrical Circuits, Calculating Power Without Voltage","xqanURIKnng","https://www.youtube.com/watch?v=xqanURIKnng","module-01","13","module-01","13","Retained","Connect circuits, AC, transformers and power, then establish safe isolation before measurements.",""
"p01-l14","How to Find the Power Formula Number 3 for Electrical Circuits, Calculating Power Without Current","lPfu-QpFnS8","https://www.youtube.com/watch?v=lPfu-QpFnS8","module-01","14","module-01","14","Retained","Connect circuits, AC, transformers and power, then establish safe isolation before measurements.",""
"p01-l15","SI Units: What are the Units for Power vs Energy? Why Don't Electricians Measure Energy in Joules?","UA4wYsPJuNM","https://www.youtube.com/watch?v=UA4wYsPJuNM","module-01","15","module-01","15","Retained","Connect circuits, AC, transformers and power, then establish safe isolation before measurements.",""
"p01-l16","The Three Effects of Electricity","YHzZxO-AviM","https://www.youtube.com/watch?v=YHzZxO-AviM","module-01","16","module-01","16","Retained","Connect circuits, AC, transformers and power, then establish safe isolation before measurements.",""
"p01-l17","Magnets and Magnetism: How to Create a Magnetic Field Using Electricity","09FEkKMS2OU","https://www.youtube.com/watch?v=09FEkKMS2OU","module-01","17","module-01","17","Retained","Connect circuits, AC, transformers and power, then establish safe isolation before measurements.",""
