channel_index,video_id,title,published_at,status,language,caption_kind,track,strategy,output_file,sha256,error_class,error
"1","iman_gDntWA","What is the Inverse Square Law of Lighting? Formula and SI Units for Lighting","2020-04-22T07:00:18Z","fetched","en","asr","en-asr","IOS","transcripts/2020-04-22 - What is the Inverse Square Law of Lighting_ Formula and SI Units for Lighting.txt","9f770408ca8ebb13ab7fb4295f7fa670e7decbcf379190b32f37e3422fc4b3cd","",""
"2","Y_b6MwGP1zA","How Does the Inverse Square Law for Lighting Work as Distance Increases?","2020-04-29T07:00:23Z","fetched","en","asr","en-asr","IOS","transcripts/2020-04-29 - How Does the Inverse Square Law for Lighting Work as Distance Increases_.txt","89a71332ae0ea69673f36e8a83ccf431c0a82adda651931bdefaf787162764d2","",""
"3","b9HgDScFoTo","How to Use the Inverse Square Law to Calculate Light Levels","2020-05-06T07:00:15Z","fetched","en","asr","en-asr","IOS","transcripts/2020-05-06 - How to Use the Inverse Square Law to Calculate Light Levels.txt","1d38b619e8d8110935fa5e0b1e2f97b587f6e502a5e5a35198c524634e74c213","",""
"4","hqaLQLTaMew","What is the Cosine Rule for Lighting? How to Calculate Light Levels at an Angle from the Source","2020-05-13T07:00:17Z","fetched","en","asr","en-asr","ANDROID","transcripts/2020-05-13 - What is the Cosine Rule for Lighting_ How to Calculate Light Levels at an Angle from the Source.txt","0944adb3c9b9d4434bb711602c76c694a01680cebe7fecec6954872d12faff42","",""
"5","_RhX5Mfm0tU","How to Answer an Exam Style Question on Lighting: Inverse Square Law and Cosine Rule","2020-05-21T08:00:18Z","fetched","en","asr","en-asr","IOS","transcripts/2020-05-21 - How to Answer an Exam Style Question on Lighting_ Inverse Square Law and Cosine Rule.txt","afcce8bf7d46e3362b01b5b03f90dc6243d755d4427caa878d2d1dde2a79a207","",""
"6","yhH8wYWkilo","What is the Luminous Flux Method or Lumen Method for Calculating Light Levels?","2021-03-22T09:00:32Z","cached","en","asr","en-asr","","transcripts/2021-03-22 - What is the Luminous Flux Method or Lumen Method for Calculating Light Levels_.txt","46f88c5165c9744a457dd34428489ad666167ae427d93a600c3b080ce5cddf9e","",""
"7","wnin9h69GfA","How to Use the Luminous Flux Method to Calculate the Amount of Lumens Required to Illuminate a Room","2021-04-12T08:00:09Z","cached","en","asr","en-asr","","transcripts/2021-04-12 - How to Use the Luminous Flux Method to Calculate the Amount of Lumens Required to Illuminate a Room.txt","e42858018f49481b325813b93df04b0ddc90652d5fa7a0e9c2f3d1c2a2ed7a7c","",""
"8","bHefEAWLLAE","How to Use the Luminous Flux Method to Calculate the Amount of Lights Required in a Room","2021-04-19T06:30:06Z","cached","en","asr","en-asr","","transcripts/2021-04-19 - How to Use the Luminous Flux Method to Calculate the Amount of Lights Required in a Room.txt","806f36cf44110c03105d7d641a312eadfe4d04202b24496d749cd23dedbcebf8","",""
"9","2fFKkIZVwt0","How to Answer an Exam Type Question on the Luminous Flux Method","2021-04-26T07:00:00Z","fetched","en","asr","en-asr","IOS","transcripts/2021-04-26 - How to Answer an Exam Type Question on the Luminous Flux Method.txt","1e258f8cd7ab79fd49e6e8adc6bf321042ea57be9fb217182675e7da1cae8a02","",""
"10","N0ohNNAJoKc","How to Calculate Light Levels when Using Multiple Sources of Illumination Exam Question 1","2021-05-03T07:00:11Z","fetched","en","asr","en-asr","ANDROID","transcripts/2021-05-03 - How to Calculate Light Levels when Using Multiple Sources of Illumination Exam Question 1.txt","e49e1d2b7b8ede788813d623bf4bd25a0d18b6bfc01aae0ba204c8f3b31aba85","",""
"11","mZBwsm6B280","Bertrand's Paradox (with 3blue1brown) - Numberphile","2021-12-20T15:10:15Z","fetched","en","manual","en-manual","IOS","transcripts/2021-12-20 - Bertrand's Paradox (with 3blue1brown) - Numberphile.txt","4f1128a06564eca400c979cc7229a3843330959443de87b0cf0c44b9ec6fc523","",""
"12","zCCW2K6qaYM","How to Calculate Light Levels when Using Multiple Sources of Illumination Exam Question 2","2021-05-10T07:00:30Z","fetched","en","asr","en-asr","IOS","transcripts/2021-05-10 - How to Calculate Light Levels when Using Multiple Sources of Illumination Exam Question 2.txt","51bbc3d439dc7ffee1b099ab0b7fea923bedb60943ea59a6ab37f2065a2f17ec","",""
